Guideline ID,Configuration Parameter,Desired Value,Able to set using Host Profile
ESXi.apply-patches,NA,NA,NO
ESXi.audit-exception-users,N/A,Site-specific,N/A
ESXi.Audit-SSH-Disable,,False,N/A
ESXi.config-ntp,N/A,Site Specific,YES
ESXi.config-persistent-logs,Syslog.global.logDir,Site Specific,YES
ESXi.config-snmp,N/A,site-specific,YES
ESXi.disable-mob,Config.HostAgent.plugins.solo.enableMob,False,YES
ESXi.Disable-oldtls-protocols,UserVars.ESXiVPsDisabledProtocols,"""sslv3,tlsv1,tlsv1.1""",YES
ESXi.enable-ad-auth,N/A,Site Specific,YES
ESXi.enable-auth-proxy,N/A,Site Specific,YES
ESXi.enable-chap-auth,"Use Chap, Name, Secret",Site Specific,NO
ESXi.enable-normal-lockdown-mode,vimsvc/auth/lockdown_is_enabled,Enabled,YES
ESXi.enable-remote-syslog,Syslog.global.logHost,Site Specific,YES
ESXi.enable-strict-lockdown-mode,vimsvc/auth/lockdown_is_enabled,Enabled,N/A
ESXi.firewall-restrict-access,N/A,Site Specific,YES
ESXi.set-account-auto-unlock-time,Security.AccountUnlockTime,900,YES
ESXi.set-account-lockout,Security.AccountLockFailures,3,YES
ESXi.set-dcui-access,DCUI.Access,List of authorized users,YES
ESXi.set-dcui-timeout,UserVars.DcuiTimeOut,600,YES
ESXi.set-password-policies,Security.PasswordQualityControl,Site specific,YES
ESXi.set-shell-interactive-timeout,UserVars.ESXiShellInteractiveTimeOut,900,NO
ESXi.set-shell-timeout,UserVars.ESXiShellTimeOut,900,NO
ESXi.TransparentPageSharing-intra-enabled,Mem.ShareForceSalting,2,YES
ESXi.verify-acceptance-level-supported,N/A,"VMware Certified, VMware Accepted or Partner Supported",YES
VM.disable-console-copy,isolation.tools.copy.disable,TRUE,N/A
VM.disable-console-drag-n-drop,isolation.tools.dnd.disable,TRUE,N/A
VM.disable-console-gui-options,isolation.tools.setGUIOptions.enable,FALSE,N/A
VM.disable-console-paste,isolation.tools.paste.disable,TRUE,N/A
VM.disable-disk-shrinking-shrink,isolation.tools.diskShrink.disable,TRUE,N/A
VM.disable-disk-shrinking-wiper,isolation.tools.diskWiper.disable,TRUE,N/A
VM.disable-hgfs,isolation.tools.hgfs.disable,TRUE,N/A
VM.disable-independent-nonpersistent,scsiX:Y.mode,One of the following: * Not present (defaults to Persistent if blank) * Explicitly set to Persistent *Set to Independent-Persistent,N/A
VM.disable-non-essential-3D-features,mks.enable3d,FALSE,N/A
VM.disable-unexposed-features-autologon,isolation.tools.ghi.autologon.disable,TRUE,N/A
VM.disable-unexposed-features-launchmenu,isolation.tools.ghi.launchmenu.change,TRUE,N/A
VM.disable-unexposed-features-memsfss,isolation.tools.memSchedFakeSampleStats.disable,TRUE,N/A
VM.disable-unexposed-features-protocolhandler,isolation.tools.ghi.protocolhandler.info.disable,TRUE,N/A
VM.disable-unexposed-features-shellaction,isolation.ghi.host.shellAction.disable,TRUE,N/A
VM.disable-unexposed-features-trayicon,isolation.tools.ghi.trayicon.disable,TRUE,N/A
VM.disable-unexposed-features-unity,isolation.tools.unity.disable,TRUE,N/A
VM.disable-unexposed-features-unity-interlock,isolation.tools.unityInterlockOperation.disable,TRUE,N/A
VM.disable-unexposed-features-unitypush,isolation.tools.unity.push.update.disable,TRUE,N/A
VM.disable-unexposed-features-unity-taskbar,isolation.tools.unity.taskbar.disable,TRUE,N/A
VM.disable-unexposed-features-unity-unityactive,isolation.tools.unityActive.disable,TRUE,N/A
VM.disable-unexposed-features-unity-windowcontents,isolation.tools.unity.windowContents.disable,TRUE,N/A
VM.disable-unexposed-features-versionget,isolation.tools.vmxDnDVersionGet.disable,TRUE,N/A
VM.disable-unexposed-features-versionset,isolation.tools.guestDnDVersionSet.disable,TRUE,N/A
VM.disconnect-devices-floppy,floppyX.present,not present or FALSE,N/A
VM.disconnect-devices-parallel,parallelX.present,not present or FALSE,N/A
VM.disconnect-devices-serial,serialX.present,not present or FALSE,N/A
VM.Enable-VGA-Only-Mode,svga.vgaOnly,TRUE,N/A
VM.limit-setinfo-size,tools.setInfo.sizeLimit,1048576,N/A
VM.minimize-console-VNC-use,RemoteDisplay.vnc.enabled,FALSE,N/A
VM.restrict-host-info,tools.guestlib.enableHostInfo,FALSE,N/A
VM.TransparentPageSharing-inter-VM-Enabled,sched.mem.pshare.salt,Site-Specific,NO
VM.verify-network-filter,ethernetX.filterX.name = filtername,Null unless using dvfilter,N/A
VM.verify-PCI-Passthrough,pciPassthru*.present,FALSE,N/A
vNetwork.enable-bpdu-filter,Net.BlockGuestBPDU,1,N/A
vNetwork.limit-network-healthcheck ,N/A,Disabled,N/A
vNetwork.reject-forged-transmit-dvportgroup,N/A,Reject,N/A
vNetwork.reject-forged-transmit-StandardSwitch,N/A,Reject,N/A
vNetwork.reject-mac-changes-dvportgroup,N/A,Reject,N/A
vNetwork.reject-mac-changes-StandardSwitch,N/A,Reject,N/A
vNetwork.reject-promiscuous-mode-dvportgroup,N/A,Reject,N/A
vNetwork.reject-promiscuous-mode-StandardSwitch,N/A,Reject,N/A
vNetwork.restrict-netflow-usage,N/A,Site-Specific,N/A
vNetwork.restrict-port-level-overrides,N/A,Disabled,N/A
vNetwork.verify-dvfilter-bind,Net.DVFilterBindIpAddress,Null,NO
